state,gdp_share,pop_share,quota,capacity,host_T0,pay_T0,host_T1,pay_T1,host_T2,pay_T2,transfer_T2
0,0.20383472452962784,0.16171829604304114,56,59,56,0.0,41,15.0,59,0.0,59.0
1,0.10405908872372265,0.12951729320641456,34,38,34,0.0,23,11.0,38,0.0,38.0
2,0.25472296673388656,0.15043560636092862,64,62,62,0.0,36,28.0,62,2.0,62.0
3,0.2801242654568858,0.09902909965793509,62,55,55,0.0,33,29.0,55,7.0,55.0
4,0.06598539023173877,0.235482051025784,40,40,40,0.0,35,5.0,40,0.0,40.0
5,0.0912735643241384,0.22381765370589668,43,35,35,0.0,31,12.0,35,8.0,35.0
